"interface_id","hostname","private_name","primary","interface","designation","mac","ipv4","ipv6"
"170","p1016","p1016-ilo","0","iLO4","ilo","70:10:6F:4A:38:D6","10.4.3.248","NULL"
"171","p1017","p1017-e0","0","eth0","e0","E4:1F:13:22:E2:44","10.1.3.249","NULL"
"172","p1017","p1017-ilo","0","iLO4","ilo","70:10:6F:4A:9C:5E","10.4.3.249","NULL"
"173","p1018","p1018-e0","0","eth0","e0","E4:1F:13:22:42:60","10.1.3.250","NULL"
"174","p1018","p1018-ilo","0","iLO4","ilo","70:10:6F:4A:98:CA","10.4.3.250","NULL"
"175","license1","NULL","0","NULL","exthost","NULL","185.27.175.88","NULL"
"176","license2","NULL","0","NULL","exthost","NULL","185.87.184.180","NULL"
"177","license3","NULL","0","NULL","exthost","NULL","185.95.29.105","NULL"
"178","cn0001","cn0001-e0","0","eth0","e0","38:EA:A7:12:35:20","10.1.20.1","NULL"
"179","cn0001","cn0001-ilo","0","iLO4","ilo","9C:B6:54:AE:07:90","10.4.20.1","NULL"
"180","cn0002","cn0002-e0","0","eth0","e0","38:EA:A7:12:37:2C","10.1.20.2","NULL"
"181","cn0002","cn0002-ilo","0","iLO4","ilo","9C:B6:54:AE:0A:18","10.4.20.2","NULL"
"182","cn0003","cn0003-e0","0","eth0","e0","38:EA:A7:12:33:D4","10.1.20.3","NULL"
"183","cn0003","cn0003-ilo","0","iLO4","ilo","9C:B6:54:AD:FA:34","10.4.20.3","NULL"
"184","cn0004","cn0004-e0","0","eth0","e0","38:EA:A7:12:36:70","10.1.20.4","NULL"
"185","cn0004","cn0004-ilo","0","iLO4","ilo","9C:B6:54:AE:01:70","10.4.20.4","NULL"
"186","cn0005","cn0005-e0","0","eth0","e0","38:EA:A7:12:34:4C","10.1.20.5","NULL"
"187","cn0005","cn0005-ilo","0","iLO4","ilo","9C:B6:54:AD:F5:58","10.4.20.5","NULL"
"188","cn0006","cn0006-e0","0","eth0","e0","38:EA:A7:12:35:18","10.1.20.6","NULL"
"189","cn0006","cn0006-ilo","0","iLO4","ilo","9C:B6:54:AD:F9:F0","10.4.20.6","NULL"
